DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,team,match
1,3,11,373.4423,alive,1,5,8,1,2,38.788475,17_SuJiu,account.6c72b19fa5f84f6d8f057800fcb8c7e4,0,2621.2747,0,0.0,0,1787,0,1536.9515,5,1,17,1
0,0,9,303.1821,alive,0,2,34,0,0,0.0,17_shou,account.fbcd9114dda54349be8984db3a56a529,0,2805.7368,0,0.0,0,1426,0,1184.3179,3,1,17,1
5,0,10,758.1571,alive,3,7,1,2,8,197.45233,17_Lilghost,account.044fdaf796814b68a5be3eb2364d1729,1,2614.874,0,0.0,0,1787,1,1394.8423,4,1,17,1
3,3,7,438.96936,alive,0,3,17,1,1,49.599796,17_xwudd,account.be483b1d24c34bce9affba1f346a6679,0,3213.8125,0,0.0,0,1787,1,1060.7407,5,1,17,1
0,1,4,248.3269,byplayer,0,3,35,0,0,0.0,EIQ_Lukarux,account.328cbdc81ddf450fafc2432e3f7f3da4,1,3207.9807,0,0.0,0,1787,0,2320.7156,4,2,EIQ,1
3,1,10,784.17395,byplayer,2,9,4,1,3,215.28656,EIQ_Naylup,account.7cf7d92744ee4b5aa14bd60bf2a3626b,0,1782.3928,0,0.0,0,1787,1,1346.6924,5,2,EIQ,1
0,1,0,156.46912,byplayer,0,0,36,0,0,0.0,EIQ_ivas,account.425beae7fa9d409bbe07568010f55181,0,3237.92,0,0.0,0,1292,0,1325.7035,4,2,EIQ,1
2,3,4,815.39886,byplayer,1,2,9,1,2,166.77936,EIQ_Qbe,account.7bf189f560e24e43b9be7b74333fd931,0,2869.9934,0,0.0,0,1787,2,1407.6552,6,2,EIQ,1
0,0,6,25.568724,byplayer,0,2,38,0,0,0.0,eU_Fludd,account.ce4a08811bee48a2a75851fe6545df8c,0,8249.847,0,0.0,0,1381,0,570.0803,3,3,eU,1
0,0,5,318.55908,byplayer,0,6,18,1,1,141.64201,eU_Snakers,account.352e546623ae4b2c902068825a5c99af,4,7080.616,0,0.0,0,1683,3,844.9497,6,3,eU,1
3,0,4,520.2742,byplayer,0,2,5,2,3,212.6499,eU_Kickstart,account.6a886e58e2ea4c6e9f0092fbc3a4de9b,0,7614.8164,0,0.0,0,1672,1,834.76526,3,3,eU,1
1,2,4,316.06622,byplayer,0,8,37,0,0,0.0,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,0,6857.015,0,0.0,0,1671,0,731.0265,5,3,eU,1
3,1,5,454.922,byplayer,1,8,6,2,3,75.35137,FaZe_D1gg3r1,account.be21a1914543479f82536578cbb62929,0,6548.905,0,0.0,0,1511,0,1116.4214,3,4,FaZe,1
3,0,6,532.04065,byplayer,0,6,10,2,2,60.470577,FaZe_Aitzy,account.d6769b94f5b84589a6a706d77edec3c4,0,6482.5977,0,0.0,0,1456,0,1208.4109,4,4,FaZe,1
1,0,7,343.66272,byplayer,0,6,39,0,0,0.0,FaZe_Fexx,account.0d211f1fa8fd4d17823c98be5d693ac4,0,6915.8477,0,0.0,0,1679,0,958.87164,2,4,FaZe,1
0,1,5,116.88266,byplayer,0,1,40,0,0,0.0,FaZe_Gustav,account.ba4dcfc4247641e2bef7e102fa19eaf5,0,7059.958,0,0.0,0,1316,0,1001.0721,7,4,FaZe,1
0,1,3,0.0,byplayer,0,3,41,0,0,0.0,OP_mxey,account.b5205dc056b8454d912beef9dc797bf9,0,5612.2715,0,0.0,0,1273,0,1220.5132,5,5,OP,1
0,1,7,178.62206,byplayer,1,4,11,1,2,293.39032,OP_jeemzz,account.79106b57d5884c91a2f6f9e5d0c5e9d4,0,5200.721,0,0.0,0,1526,0,1839.2745,4,5,OP,1
4,2,10,512.0714,byplayer,0,7,2,2,4,53.261772,OP_vard,account.7dc38fb4885b4dcdaf6ae9ab773949b5,3,4908.373,0,0.0,0,1672,1,1554.1898,3,5,OP,1
2,1,4,354.46036,byplayer,1,3,12,1,2,263.78537,OP_clib,account.81f01a8db8bb4e6ebe1c7e3952dc5871,1,5270.516,0,0.0,0,1518,0,1371.5448,5,5,OP,1
2,1,1,106.60324,byplayer,0,2,13,2,2,68.12233,NAVI_Mell,account.db97ab142d4748e694dd3fe24222efdb,1,3545.2627,0,0.0,0,1466,0,1194.5447,4,6,NAVI,1
2,5,2,343.0199,byplayer,0,2,20,1,1,73.33722,NAVI_ubah,account.63bc86b07068499190e11cb0e1e9d516,1,3456.4172,0,0.0,0,1466,0,1547.2249,3,6,NAVI,1
3,0,2,391.66968,byplayer,1,2,3,2,4,51.829296,NAVI_xmpl,account.ba5311c89cd04394938935a9afa23a65,0,4153.608,0,0.0,0,1466,0,1251.706,5,6,NAVI,1
1,0,2,151.08093,byplayer,0,1,19,1,1,85.68414,NAVI_alya,account.324e82760e13456bbffb2c0702c2e945,1,3971.538,0,0.0,0,1466,0,1470.5007,3,6,NAVI,1
1,0,5,435.44424,byplayer,0,5,22,1,1,177.47807,QM_F1lfirst,account.e59e5914ee7b45499702b0632aaeaee5,0,4387.286,0,0.0,0,1358,0,1073.4758,6,7,QM,1
3,1,7,528.7738,byplayer,0,2,42,0,0,0.0,QM_ADOUZ1E,account.46808f45b4834bcb9e91751a3df9aceb,0,2879.3774,0,0.0,0,1408,0,1430.8778,3,7,QM,1
0,0,2,33.39139,byplayer,0,3,43,0,0,0.0,QM_DaNte,account.726610ed4e384ccea442b02e601be327,0,4058.6917,0,0.0,0,1160,0,606.1765,4,7,QM,1
1,0,5,152.85956,byplayer,0,3,21,1,1,31.853226,QM_HoBBitEz,account.4fbd5a8236b54beaab4fc9f606260965,1,4227.2236,0,0.0,0,1408,0,1247.1036,3,7,QM,1
1,1,7,149.96732,byplayer,0,9,24,1,1,7.932763,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,1,10275.701,0,0.0,0,1327,0,751.7392,3,8,YAHO,1
2,1,4,330.16287,byplayer,2,2,14,1,2,247.92291,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,10758.715,0,0.0,0,1279,0,773.8917,5,8,YAHO,1
1,2,9,138.83757,byplayer,1,4,25,1,1,60.416534,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,0,9943.492,0,0.0,0,1325,0,1141.8456,5,8,YAHO,1
0,0,5,61.162422,byplayer,1,5,23,1,1,23.789026,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,2,10107.377,0,0.0,0,1327,0,998.8499,4,8,YAHO,1
0,0,4,312.09705,byplayer,0,3,26,1,1,174.64626,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,0,3007.7146,0,0.0,0,1323,0,1418.673,3,9,DAY,1
0,0,5,476.8046,byplayer,0,3,45,0,0,0.0,DAY_Belmoth,account.ca498222d9684d96ae46691459ae1035,0,3288.5037,0,0.0,0,1323,0,1291.3531,5,9,DAY,1
3,0,5,346.45584,byplayer,0,0,44,0,0,0.0,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,4496.814,0,0.0,0,1323,0,1230.1025,3,9,DAY,1
0,0,3,26.807625,byplayer,0,3,46,0,0,0.0,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,0,4467.0596,0,0.0,0,1323,0,1414.0435,3,9,DAY,1
1,0,1,403.61554,byplayer,0,2,27,1,1,256.32236,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,0,1430.3059,0,0.0,0,1314,0,920.3074,5,10,KDF,1
2,0,4,491.46124,byplayer,0,2,28,1,1,17.961689,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,0,617.20874,0,0.0,0,1314,1,1194.8778,5,10,KDF,1
1,0,2,332.94052,byplayer,0,0,15,2,2,16.79599,KDF_EEND,account.296ae73a09144f949505b831843253ca,0,726.81165,0,0.0,0,1171,0,735.2944,5,10,KDF,1
0,0,6,17.9578,byplayer,0,0,47,0,0,0.0,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,0,1026.5585,0,0.0,0,1314,0,916.4171,5,10,KDF,1
1,0,2,103.9951,byplayer,0,1,49,0,0,0.0,TWIS_BatulinS,account.261d2f43ea804464afd413351639f531,0,3134.1257,0,0.0,0,1098,0,911.81335,7,11,TWIS,1
0,0,0,103.8614,byplayer,0,0,50,0,0,0.0,TWIS_Lu,account.e38f365512844e41a3c47995948d46cb,0,4072.364,0,0.0,0,1031,0,773.1697,5,11,TWIS,1
2,0,2,267.93063,byplayer,0,1,7,2,3,181.40825,TWIS_Perfect1ks,account.806c51ce23634e02ace2089773349500,0,3825.2947,0,0.0,0,1298,0,738.38513,5,11,TWIS,1
0,1,5,139.70259,byplayer,0,1,48,0,0,0.0,TWIS_spyrro,account.caf93e0eb8804b478a6a4b2d4d69f54f,0,4613.3286,0,0.0,0,1298,1,1010.8897,3,11,TWIS,1
1,1,4,29.32061,byplayer,0,5,51,0,0,0.0,TE_Leviz,account.f9cd747bad7444a791b47b38baa99e48,1,1354.4625,0,0.0,0,1286,0,629.42267,5,12,TE,1
1,0,2,130.0793,byzone,0,1,29,1,1,283.69025,TE_Smell,account.c6f43909d033401d8efa6ca75a804b04,0,1151.5621,0,0.0,0,1180,0,1045.7241,4,12,TE,1
0,1,2,95.972725,byplayer,0,2,53,0,0,0.0,TE_777,account.6c5f7c1fe9094517bc4368b920b7ea69,0,2369.8916,0,0.0,0,1262,0,1660.1742,4,12,TE,1
2,1,0,145.0523,byplayer,0,0,52,0,0,0.0,TE_DuCkHjeUz,account.52abce092f5844af8cec49e8a064c8d2,2,2236.145,0,0.0,0,1286,0,793.5112,5,12,TE,1
1,0,3,153.66087,byplayer,0,2,30,1,1,3.1053696,WC_Adam,account.6d861d09565241f5b2f4eda11744468d,0,5252.609,0,0.0,0,1163,0,909.03485,3,13,WC,1
0,0,2,36.23387,byplayer,0,1,55,0,0,0.0,WC_nicoos,account.385216b5ffe54340951c5a9bebd532e4,0,5334.8525,0,0.0,0,1166,0,960.23694,4,13,WC,1
0,0,3,111.24515,byplayer,0,1,56,0,0,0.0,WC_GregShotGG,account.7de92369fe4f4f24874d719a4bf6895d,0,5541.0854,0,0.0,0,898,0,812.4775,3,13,WC,1
1,0,0,122.14,byplayer,0,0,54,0,0,0.0,WC_Ykikamucow,account.257ebd9a9e044d75a4bdaf6ef7334d68,0,3543.169,0,0.0,0,1166,0,821.3703,6,13,WC,1
