DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killStreaks,kills,longestKill,name,playerId,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,team,match
1,0,4,329.62927,alive,2,4,3,4,4,168.23808,4AM_Summer,account.f9eb45bbd191499dbf47ad608665c5b6,0,2113.933,0,0.0,0,1873,0,2208.53,4,1,4AM,1
2,3,5,585.7967,alive,1,0,2,2,4,155.65694,4AM_xxxLu,account.6cf76c3011264866a146247e227e65bd,0,958.0982,0,0.0,0,1890,0,2055.2424,5,1,4AM,1
3,0,5,642.76263,alive,0,2,5,2,3,121.32592,4AM_Xiaohaixxxx,account.366f6407f60c46ed9dced28f5bf19ca9,0,1223.2219,0,0.0,0,1890,0,1661.1929,8,1,4AM,1
1,2,4,297.14227,alive,0,3,31,0,0,0.0,4AM_CRAZY112,account.3fbdaf40517a477ab26ff7e0d1f7f4d8,1,1533.5837,0,0.0,0,1886,0,2355.2512,7,1,4AM,1
1,0,3,418.80606,byplayer,0,7,7,2,3,46.272343,NAVI_Mell,account.47a6e42cedbd4478aa91029f2f182b24,0,3208.6711,0,0.0,0,1890,0,1950.9208,2,2,NAVI,1
3,0,4,654.4056,byplayer,1,6,6,2,3,114.22749,NAVI_ubah,account.d52c9a76321240dd9d4e7d21dfd30601,0,3005.0796,0,0.0,0,1890,0,1477.0746,7,2,NAVI,1
6,4,8,904.84705,byplayer,0,6,8,1,3,22.20603,NAVI_alya,account.faa45302d60245268174148c726f0df0,1,3261.0244,0,0.0,0,1871,0,1846.7745,7,2,NAVI,1
1,1,5,618.13995,byplayer,0,7,16,1,1,7.1716547,NAVI_xmpl,account.f8519f64f2ef4260b9cf27bc694d80e8,0,3226.5154,0,0.0,0,1875,1,1585.4174,5,2,NAVI,1
2,1,7,416.4197,byplayer,0,4,10,1,3,78.00232,NH_MMing,account.bcf610df926541c08f984d8c63a799f8,0,6027.8306,0,0.0,0,1845,0,1850.4944,5,3,NH,1
1,1,4,375.5194,byzone,0,1,4,2,4,74.08915,NH_Nannnnn,account.0641601eed6d48ac9c3e7ec29c1ab65d,1,6733.9404,0,0.0,0,1637,0,1346.2404,6,3,NH,1
0,2,3,55.440002,byplayer,0,2,32,0,0,0.0,NH_ZpYan1,account.5474ee03ce744d8981c8073e2ceafc14,0,5342.6777,0,0.0,0,1447,0,1335.3705,8,3,NH,1
3,1,4,506.15137,byplayer,0,1,9,1,3,45.887886,NH_HSmm,account.a673e97c72b74a89bc06f5c9cdaf1894,0,6118.4287,0,0.0,0,1845,0,1967.0817,8,3,NH,1
0,0,5,173.93906,byplayer,0,3,35,0,0,0.0,LG_Fludd,account.a76ca47399a44cad846dde2de15363b2,0,2560.1658,0,0.0,0,1442,0,748.46533,3,4,LG,1
1,2,1,285.85568,byplayer,0,1,33,0,0,0.0,LG_Kickstart,account.571b4ac8308645e6a3e0508760dba658,0,1072.2855,0,0.0,0,1462,2,1192.1589,5,4,LG,1
1,2,5,448.29666,byplayer,0,2,34,0,0,0.0,LG_Snakers,account.bff84caa45294bdba03fe42b84e3b61e,2,1765.333,0,0.0,0,1448,0,1187.991,9,4,LG,1
1,0,5,96.37271,byplayer,0,2,17,1,1,157.74934,LG_Relo,account.be714280715f480abe78bc6b2aa36767,0,2133.0784,0,0.0,0,1526,0,855.52545,5,4,LG,1
1,0,6,395.76837,byplayer,1,2,11,1,3,418.4435,EXO_Akita,account.c9154ad7a5cb4544a2cfdb7041b7897b,0,5053.055,0,0.0,0,1455,0,1004.15704,7,5,EXO,1
3,4,9,216.29018,byplayer,0,3,19,1,1,39.3729,EXO_empt,account.4b761e905e3f4880bd51038dfee6bf93,0,5220.915,0,0.0,0,1464,1,1274.826,9,5,EXO,1
1,0,3,84.25816,byplayer,0,4,20,1,1,3.2218199,EXO_Rain,account.520f1451864845e68be67546e2372497,0,4372.9326,0,0.0,0,1079,0,893.51117,4,5,EXO,1
1,1,6,207.28906,byplayer,0,3,18,1,1,6.7848363,EXO_kang,account.35d306e999224d6d875a610ac9798e9c,1,6260.503,0,0.0,0,1464,0,1241.427,8,5,EXO,1
1,1,3,404.89636,byplayer,1,3,12,1,2,27.544527,PeRo_Aixleft,account.24769a9dcb914df498d9d3232445825d,1,0.0,0,0.0,0,1463,0,3059.2568,7,6,PeRo,1
1,1,3,207.31656,byplayer,0,2,36,0,0,0.0,PeRo_Myl,account.b7951d07c465448580d9c1d3cd1c69d5,0,64.58233,0,0.0,0,1463,0,2503.7798,8,6,PeRo,1
5,0,2,517.05005,byplayer,1,2,1,3,5,94.945335,PeRo_Cui71,account.7fd167510408462eac65c6078b4ab56a,0,0.062932074,0,0.0,0,1437,0,2396.5466,7,6,PeRo,1
1,1,3,120.02729,byplayer,0,1,21,1,1,11.728002,PeRo_AZ,account.3ca5572589c3497b9c160803d9e7a4c5,1,0.0,0,0.0,0,1408,0,2270.2302,19,6,PeRo,1
0,0,0,0.0,byplayer,0,2,38,0,0,0.0,PTG_Adder,account.6786eaa07b4e403598e0392ee9b87f6e,0,0.0,0,0.0,0,690,0,1131.27,3,7,PTG,1
2,1,3,208.44507,byplayer,1,5,13,1,2,17.660557,PTG_Akad,account.97763b2a245243bbbb8ac0df22338968,1,0.01922657,0,0.0,0,1446,0,3067.8389,5,7,PTG,1
0,0,2,157.97707,byplayer,0,3,37,0,0,0.0,PTG_WICKED,account.de071594f45c4dcd8c5de502dee28a7b,0,0.017534867,0,0.0,0,1446,0,2738.6135,7,7,PTG,1
2,1,3,291.05173,byplayer,1,4,14,2,2,29.073835,PTG_Hikari,account.5bbfaf0228f9428cbf4396016e299965,0,0.0,0,0.0,0,1403,0,2822.0237,7,7,PTG,1
0,0,5,145.70337,byplayer,0,3,39,0,0,0.0,GBL_Gyumin,account.03e41409ae09412797a7fb2664f61aba,0,9538.907,0,0.0,0,1428,0,1816.429,6,8,GBL,1
