character_name,Item_Heal_MedKit,match_id,Item_Heal_FirstAid_C,Item_Heal_Bandage_C,Item_Boost_AdrenalineSyringe_C,Item_Boost_PainKiller_C,Item_Boost_EnergyDrink_C,Item_Weapon_Molotov_C,Item_Weapon_SmokeBomb_C,Item_Weapon_FlashBang_C,Item_Weapon_Grenade_C
17_Lilghost,,1,,,,,,,,,
17_SuJiu,,1,,,,,,,,,
17_Xbei,,1,,,,,,,,,
17_xwudd,,1,,,,,,,,,
4AM_CRAZY112,1.0,1,7.0,1.0,1.0,3.0,2.0,1.0,6.0,3.0,3.0
4AM_Summer,,1,5.0,1.0,,2.0,2.0,,6.0,3.0,5.0
4AM_WangZai,,1,,,,,,,,,
4AM_Xiaohaixxxx,1.0,1,4.0,1.0,,3.0,2.0,2.0,3.0,5.0,1.0
4AM_xxxLu,,1,5.0,1.0,,4.0,5.0,2.0,4.0,1.0,7.0
ACE_ItzzChrizZ,,1,5.0,,1.0,,3.0,3.0,2.0,5.0,
ACE_KILYAKAi,,1,5.0,4.0,,,8.0,2.0,4.0,3.0,3.0
ACE_Myca,,1,4.0,1.0,,,6.0,2.0,5.0,11.0,2.0
ACE_braex,,1,3.0,2.0,,2.0,6.0,1.0,6.0,2.0,2.0
CES_HaiSaki,,1,5.0,4.0,,2.0,5.0,,4.0,3.0,3.0
CES_Himass,,1,4.0,1.0,,3.0,5.0,2.0,4.0,2.0,2.0
CES_Taikonn,,1,,,,,,,,,
CES_YmCud,,1,4.0,3.0,,3.0,4.0,,10.0,5.0,2.0
DAY_Belmoth,,1,,,,,,,,,
DAY_Flash,,1,,,,,,,,,
DAY_Nourinz,,1,,,,,,,,,
DAY_PuuChiwz,,1,,,,,,,,,
DNW_Inonix,,1,,,,,,,,,
DNW_Loki,,1,,,,,,,,,
DNW_Salute,,1,,,,,,,,,
DNW_seoul,,1,,,,,,,,,
EXO_Akita,1.0,1,4.0,2.0,,3.0,9.0,5.0,8.0,7.0,5.0
EXO_Hikerman,,1,,,,,,,,,
EXO_Rain,,1,3.0,1.0,1.0,,7.0,2.0,6.0,4.0,1.0
EXO_empt,3.0,1,7.0,1.0,1.0,3.0,13.0,7.0,11.0,12.0,6.0
EXO_kang,1.0,1,3.0,,1.0,4.0,3.0,1.0,5.0,10.0,2.0
FaZe_Fexx,,1,,,,,,,,,
FaZe_Gustav,,1,,,,,,,,,
FaZe_curexi,,1,,,,,,,,,
FaZe_jeemzz,,1,,,,,,,,,
GBL_Glaz,,1,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0
GBL_Gyumin,1.0,1,4.0,1.0,,5.0,6.0,,4.0,4.0,3.0
GBL_Heaven,,1,5.0,,,4.0,5.0,1.0,5.0,2.0,3.0
GBL_Tosi,1.0,1,5.0,1.0,,4.0,4.0,1.0,3.0,2.0,6.0
GEN_DG98,,1,5.0,4.0,,2.0,2.0,2.0,4.0,4.0,1.0
GEN_Foxy,,1,6.0,,,1.0,4.0,1.0,3.0,1.0,2.0
GEN_Pio,1.0,1,4.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,6.0
GEN_taemin,,1,5.0,1.0,,1.0,4.0,2.0,4.0,2.0,1.0
GEX_Leo,,1,,,,,,,,,
GEX_Savior,,1,,,,,,,,,
GEX_Yuri,,1,,,,,,,,,
GEX_ZhenNan,,1,,,,,,,,,
HOWL_Apocalyp,,1,,,,,,,,,
HOWL_RuerN,,1,,,,,,,,,
HOWL_TheMad,,1,,,,,,,,,
HOWL_scof1eld,,1,,,,,,,,,
III_Adam,,1,,,,,,,,,
III_RichyB,,1,,,,,,,,,
III_Vox,,1,,,,,,,,,
III_oldless,,1,,,,,,,,,
LG_Fludd,,1,4.0,2.0,,2.0,6.0,2.0,2.0,5.0,1.0
LG_Kickstart,,1,2.0,1.0,1.0,2.0,,2.0,2.0,4.0,1.0
LG_Relo,,1,5.0,2.0,,3.0,5.0,,6.0,2.0,
LG_Snakers,,1,5.0,2.0,,2.0,4.0,1.0,3.0,6.0,2.0
NAVI_Mell,,1,7.0,2.0,,5.0,3.0,,6.0,9.0,6.0
NAVI_alya,,1,4.0,2.0,,3.0,7.0,,6.0,3.0,6.0
NAVI_ubah,1.0,1,9.0,2.0,,1.0,9.0,,10.0,5.0,2.0
NAVI_xmpl,,1,5.0,2.0,,3.0,6.0,,6.0,5.0,3.0
NH_HSmm,1.0,1,3.0,1.0,1.0,3.0,7.0,,8.0,7.0,6.0
NH_MMing,,1,5.0,2.0,,3.0,7.0,2.0,3.0,7.0,3.0
NH_Nannnnn,,1,3.0,1.0,,1.0,4.0,1.0,3.0,2.0,4.0
NH_ZpYan1,1.0,1,3.0,1.0,,1.0,7.0,1.0,3.0,2.0,4.0
PLM_BORBO4Tz,1.0,1,4.0,2.0,,,5.0,1.0,2.0,2.0,1.0
PLM_Flukky,,1,3.0,2.0,,,3.0,1.0,6.0,2.0,1.0
PLM_ThanawatTH,,1,5.0,1.0,,2.0,2.0,3.0,2.0,3.0,1.0
PLM_Thunderz,,1,5.0,1.0,,4.0,3.0,3.0,3.0,3.0,2.0
PTG_Adder,,1,,1.0,,,2.0,2.0,,2.0,4.0
PTG_Akad,1.0,1,5.0,2.0,,3.0,1.0,1.0,15.0,2.0,3.0
PTG_Hikari,,1,6.0,1.0,,4.0,8.0,1.0,5.0,3.0,2.0
PTG_WICKED,,1,5.0,7.0,,3.0,2.0,1.0,5.0,3.0,2.0
PeRo_AZ,,1,4.0,3.0,,2.0,5.0,1.0,2.0,4.0,
PeRo_Aixleft,,1,5.0,2.0,,2.0,6.0,2.0,3.0,2.0,5.0
PeRo_Cui71,1.0,1,4.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0
PeRo_Myl,,1,3.0,3.0,,2.0,5.0,,7.0,3.0,4.0
SQ_M1ME,,1,6.0,3.0,1.0,4.0,2.0,,4.0,2.0,5.0
SQ_Shrimzy,,1,4.0,3.0,1.0,1.0,6.0,,7.0,3.0,1.0
SQ_TGLTN,2.0,1,3.0,1.0,1.0,6.0,3.0,2.0,4.0,6.0,6.0
SQ_hwinn,,1,6.0,1.0,,1.0,7.0,,3.0,4.0,2.0
SST_Feaven,,1,4.0,1.0,,2.0,3.0,,4.0,2.0,2.0
SST_Imhac,,1,8.0,1.0,1.0,,1.0,2.0,,3.0,2.0
SST_Runax,1.0,1,3.0,1.0,,4.0,3.0,,3.0,1.0,
SST_Tae9,1.0,1,3.0,2.0,,4.0,1.0,1.0,1.0,10.0,3.0
STK_PurdyKurty,1.0,1,2.0,1.0,,2.0,5.0,1.0,3.0,2.0,8.0
STK_Vegas,,1,8.0,2.0,,1.0,9.0,1.0,6.0,3.0,1.0
STK_alow,,1,6.0,1.0,,1.0,8.0,1.0,5.0,1.0,
STK_penta,,1,4.0,3.0,,2.0,9.0,,4.0,2.0,2.0
TWIS_BatulinS,1.0,1,4.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0
TWIS_Lu,,1,3.0,6.0,,3.0,1.0,2.0,4.0,2.0,2.0
TWIS_Perfect1ks,,1,5.0,3.0,,1.0,5.0,1.0,7.0,,2.0
TWIS_TheTab,,1,,,,,,,,,
TWIS_spyrro,,1,6.0,2.0,1.0,1.0,3.0,,5.0,4.0,4.0
Tian_77owo,,1,,,,,,,,,
Tian_LinShu,,1,,,,,,,,,
Tian_LongSkr,,1,,,,,,,,,
Tian_PaoPao,,1,,,,,,,,,
17_Lilghost,,2,,,,,,,,,
17_SuJiu,,2,,,,,,,,,
17_Xbei,,2,,,,,,,,,
17_xwudd,,2,,,,,,,,,
4AM_CRAZY112,1.0,2,6.0,1.0,1.0,1.0,9.0,3.0,10.0,3.0,4.0
4AM_Summer,,2,7.0,2.0,,4.0,4.0,1.0,5.0,3.0,2.0
4AM_WangZai,,2,,,,,,,,,
4AM_Xiaohaixxxx,1.0,2,6.0,1.0,,1.0,7.0,,9.0,6.0,3.0
4AM_xxxLu,1.0,2,4.0,2.0,,3.0,6.0,1.0,4.0,2.0,1.0
ACE_ItzzChrizZ,,2,4.0,1.0,,,2.0,1.0,4.0,2.0,2.0
ACE_KILYAKAi,,2,4.0,1.0,,3.0,6.0,1.0,4.0,1.0,1.0
ACE_Myca,1.0,2,4.0,5.0,,2.0,1.0,2.0,9.0,2.0,1.0
ACE_braex,,2,5.0,1.0,,4.0,2.0,1.0,2.0,,3.0
CES_HaiSaki,,2,4.0,2.0,,2.0,4.0,,7.0,3.0,6.0
CES_Himass,,2,6.0,1.0,,3.0,3.0,,9.0,2.0,4.0
CES_Taikonn,,2,4.0,2.0,,3.0,3.0,2.0,5.0,,1.0
CES_YmCud,,2,4.0,1.0,,3.0,6.0,2.0,4.0,1.0,7.0
DAY_Belmoth,,2,,,,,,,,,
DAY_Flash,,2,,,,,,,,,
DAY_Nourinz,,2,,,,,,,,,
DAY_PuuChiwz,,2,,,,,,,,,
DNW_Inonix,,2,,,,,,,,,
DNW_Loki,,2,,,,,,,,,
DNW_Salute,,2,,,,,,,,,
DNW_seoul,,2,,,,,,,,,
EXO_Akita,,2,5.0,1.0,,,6.0,1.0,7.0,1.0,2.0
EXO_Hikerman,,2,,,,,,,,,
EXO_Rain,,2,5.0,1.0,,1.0,5.0,,3.0,,3.0
EXO_empt,,2,4.0,1.0,,1.0,7.0,1.0,4.0,3.0,3.0
EXO_kang,,2,4.0,1.0,,4.0,2.0,1.0,7.0,1.0,2.0
FaZe_Fexx,,2,,,,,,,,,
FaZe_Gustav,,2,,,,,,,,,
FaZe_curexi,,2,,,,,,,,,
FaZe_jeemzz,,2,,,,,,,,,
GBL_Glaz,,2,4.0,1.0,,1.0,3.0,1.0,7.0,2.0,1.0
GBL_Gyumin,,2,4.0,2.0,1.0,2.0,3.0,1.0,5.0,1.0,2.0
GBL_Heaven,,2,4.0,2.0,,3.0,5.0,2.0,2.0,3.0,3.0
GBL_Tosi,,2,4.0,2.0,1.0,1.0,4.0,,6.0,3.0,1.0
GEN_DG98,3.0,2,5.0,5.0,,2.0,3.0,,1.0,,1.0
GEN_Foxy,,2,3.0,1.0,,,6.0,3.0,6.0,3.0,4.0
GEN_Pio,,2,5.0,1.0,1.0,1.0,4.0,1.0,2.0,,1.0
GEN_taemin,,2,4.0,2.0,,3.0,5.0,1.0,1.0,2.0,3.0
GEX_Leo,,2,,,,,,,,,
GEX_Savior,,2,,,,,,,,,
GEX_Yuri,,2,,,,,,,,,
GEX_ZhenNan,,2,,,,,,,,,
HOWL_Apocalyp,,2,,,,,,,,,
